train_loss_step,train_is_next_axx_step,train_altered_acc_step,epoch,step,val_loss_step,val_is_next_axx_step,val_altered_acc_step,val_loss_epoch,val_is_next_axx_epoch,val_altered_acc_epoch,train_loss_epoch,train_is_next_axx_epoch,train_altered_acc_epoch,test_loss_step,test_is_next_axx_step,test_altered_acc_step,test_loss_epoch,test_is_next_axx_epoch,test_altered_acc_epoch
,,,,237,1.0817897319793701,75.0,93.359375,,,,,,,,,,,,
,,,,238,1.55425226688385,37.5,75.1953125,,,,,,,,,,,,
,,,,239,1.7277894020080566,25.0,59.6923828125,,,,,,,,,,,,
,,,,240,1.2533714771270752,62.5,68.45703125,,,,,,,,,,,,
,,,,241,1.5668429136276245,37.5,77.5146484375,,,,,,,,,,,,
,,,,242,1.412628173828125,50.0,92.7490234375,,,,,,,,,,,,
,,,,243,1.2445487976074219,62.5,87.3046875,,,,,,,,,,,,
,,,,244,1.250328779220581,62.5,85.0830078125,,,,,,,,,,,,
,,,,245,1.5513510704040527,37.5,87.5,,,,,,,,,,,,
,,,,246,1.2549153566360474,62.5,80.6396484375,,,,,,,,,,,,
,,,,247,1.6975115537643433,25.0,90.4296875,,,,,,,,,,,,
,,,,248,1.48992121219635,40.0,99.4140625,,,,,,,,,,,,
,,,2,362,,,,1.4154402017593384,49.3192138671875,80.67794799804688,,,,,,,,,
,,,2,362,,,,,,,1.3877038955688477,48.500518798828125,61.760963439941406,,,,,,
1.185321569442749,87.5,72.412109375,3,399,,,,,,,,,,,,,,,
1.3068115711212158,50.0,75.3662109375,3,449,,,,,,,,,,,,,,,
,,,,249,1.15886652469635,62.5,61.2548828125,,,,,,,,,,,,
,,,,250,0.9291217923164368,75.0,80.3466796875,,,,,,,,,,,,
,,,,251,1.5567560195922852,37.5,65.966796875,,,,,,,,,,,,
,,,,252,0.902023196220398,75.0,60.2294921875,,,,,,,,,,,,
,,,,253,1.1185771226882935,62.5,62.98828125,,,,,,,,,,,,
,,,,254,1.31781804561615,50.0,58.3251953125,,,,,,,,,,,,
,,,,255,1.097049355506897,62.5,57.6171875,,,,,,,,,,,,
,,,,256,1.25688898563385,50.0,57.568359375,,,,,,,,,,,,
,,,,257,0.8972684144973755,87.5,57.4462890625,,,,,,,,,,,,
,,,,258,1.1894502639770508,50.0,71.044921875,,,,,,,,,,,,
,,,,259,1.1560873985290527,62.5,63.2080078125,,,,,,,,,,,,
,,,,260,1.3307491540908813,50.0,64.4287109375,,,,,,,,,,,,
,,,,261,1.438744068145752,62.5,62.5,,,,,,,,,,,,
,,,,262,0.6969267725944519,100.0,57.2021484375,,,,,,,,,,,,
,,,,263,1.535119652748108,37.5,57.763671875,,,,,,,,,,,,
,,,,264,1.584243655204773,25.0,57.51953125,,,,,,,,,,,,
,,,,265,1.405785083770752,50.0,57.275390625,,,,,,,,,,,,
,,,,266,1.089977741241455,75.0,57.4951171875,,,,,,,,,,,,
,,,,267,1.435531735420227,37.5,57.2021484375,,,,,,,,,,,,
,,,,268,1.7038437128067017,12.5,57.1533203125,,,,,,,,,,,,
,,,,269,1.2038170099258423,62.5,58.1298828125,,,,,,,,,,,,
,,,,270,0.9332199096679688,87.5,57.51953125,,,,,,,,,,,,
